BLADE_TYPE,COMMENTS,FACING_CD,FLD_SRC_TXT,INSTDATE,MATERIAL,PL_TY,REUSE,SGN_COUNT_NO,SGN_STA_CD,SIGN_TXT,STA_CD,SIZE_CD,SUPPORTTYPE,UNITID,TE_SIGNLOCATION_UNITID,POINT,Ward Boundaries,City Quadrants,Calgary Communities,Ward Boundaries 2013-2017
Regulatory,,N,Field Estimate,11/21/2019,High Intensity,,,1,A,,A,60X75,Trunk,1110249834,1110249833,POINT (-114.210977006742 51.06450678692),1,1,114,14
Warning,,N,GPS,7/1/2012,,SG_40-04,,1,A,,R,60X75,Signpole,1110272552,1109949897,POINT (-114.04191987654 50.871620507474),6,3,133,6
Loading Zone,,SE,Field Estimate,11/14/2019,High Intensity,SG_40-06,,1,A,"LZ, MAX 20 MIN, AR",A,30X60,Signpole,1110244848,1109088855,POINT (-114.092742125319 51.040411045681),14,1,260,2
Timed Parking,,SE,Field Estimate,11/22/2019,High Intensity,,,1,A,"2HP, MON-FRI, 0900-1800, DA",A,SPECIAL,Streetlightstandard,1110249855,1110249799,POINT (-114.209184835402 51.064783445189),1,1,114,14
Parking Restrictions,,NW,Field Estimate,11/22/2019,High Intensity,SG_40-05,,3,A,NSAT AR,A,30X30,Signpole,1110249901,1110249894,POINT (-114.209960669495 51.064637616523),1,1,114,14
Parking Restrictions,,N,GPS,7/1/1999,,SG_40-00,,0,R,PINE CREEK RV CAMP......,R,SPECIAL,Signpole,1109168529,1109081001,POINT (-114.040594892846 50.870040696037),6,3,133,6
Timed Parking,,SE,Field Estimate,11/22/2019,High Intensity,SG_40-05,,2,A,"2HP, MON-FRI, 0900-1800, AL",A,SPECIAL,Signpole,1110249888,1110249874,POINT (-114.208597808283 51.064781359478),1,1,114,14
Regulatory,,S,Field Estimate,11/22/2019,High Intensity,SG_40-08,,1,A,,A,60X75,Signpole,1110249837,1110249798,POINT (-114.210973544071 51.064880252896),1,1,114,14
Warning,,N,GPS,7/1/1999,,,,0,R,,R,60X60,,1109168743,1109080935,POINT (-114.0415579029 50.87094758872),6,3,133,6
Regulatory,,NE,GPS,2/14/2020,High Intensity,SG_40-45,,1,A,,A,SPECIAL,Signpole,1110118315,1110118314,POINT (-114.033572723612 51.042134358219),10,3,54,11
Warning,,W,Field Estimate,11/21/2019,High Intensity,,,1,A,,R,75X75,Streetlightstandard,1110250142,1110249893,POINT (-114.208822617167 51.06463828054),1,1,114,14
Loading Zone,,SE,Field Estimate,11/14/2019,High Intensity,SG_40-06,,1,A,"LZ, MAX 20 MIN, AR",A,30X60,Signpole,1110244849,1109038251,POINT (-114.09345620443 51.040428888759),14,1,260,2
Stop,,S,Field Estimate,4/10/2019,Diamond Grade,,,2,T,4-WAY,T,40X25,,1110272595,1110218281,POINT (-114.070782689777 50.877323664061),6,3,113,6
Park Plus,,NW/SE,Field Estimate,12/12/2019,Engineer Grade,SG_40-05,,4,A,'14'' ZONE 1016 AL (BLUE),A,35X20,Signpole,1110214268,1110214184,POINT (-114.065172426327 51.052368110071),7,1,21,7
Stop,,E,,2/16/2020,,SG_40-06,,2,A,,A,40X25,Signpole,1109108456,1109040646,POINT (-113.986406438195 51.036160753395),12,3,15,11
Loading Zone,,SE,Field Estimate,11/14/2019,High Intensity,SG_40-06,,2,A,"LZ, MAX 20 MIN, AR",A,30X60,Signpole,1110244850,1109038253,POINT (-114.093708337732 51.040436050373),14,1,260,2
Loading Zone,,SE,Field Estimate,7/2/1994,Diamond Grade,SG_40-06,,1,A,,R,30X60,Signpole,1109116341,1109038251,POINT (-114.09345620443 51.040428888759),14,1,260,2
Stop,,E,,2/16/2020,,SG_40-06,,2,A,,A,60X6,Signpole,1109125520,1109040646,POINT (-113.986406438195 51.036160753395),12,3,15,11
Warning,,W,Field Estimate,2/13/2020,High Intensity,SG_40-05,,1,A,,A,45X90,Signpole,1109193771,1109077327,POINT (-114.027523922879 51.081363917034),9,4,106,3
Bicycle / Pathway,,E,Field Estimate,7/1/1999,,SG_40-06,,2,A,,R,60X60,Signpole,1109116109,1109038253,POINT (-114.093708337732 51.040436050373),14,1,260,2
Stop,,N,,2/18/2020,Diamond Grade,SG_40-05,,4,A,,A,40X25,Signpole,1109195029,1109016243,POINT (-114.045393497573 51.071212554682),10,4,88,7
Disabled Parking,,SE,Field Estimate,6/17/2019,High Intensity,SG_40-06,,0,R,,R,30X45,Signpole,1110225613,1110225612,POINT (-114.046942928406 51.172283159448),11,4,251,12
Playground,,W,GPS,1/30/2020,High Intensity,SG_40-12,,2,A,07:30 TO 21:00,A,75X105,Signpole,1109140320,1109038734,POINT (-113.98107391713 51.0210716465),10,3,196,11
Regulatory,,S,GPS,7/1/2004,,,,0,R,,R,60X60,,1109167839,1109080938,POINT (-114.038786670229 50.866750916405),6,3,133,6
Regulatory,,SW,,2/21/2020,High Intensity,SG_40-05,,3,A,,A,45X60,Signpole,1110210743,1109073833,POINT (-114.090264388506 50.985614777376),8,1,59,5
Street Name,,NW/SE,,2/18/2020,,SG_40-05,,3,A,,A,15XL,Signpole,1109162857,1109013892,POINT (-114.031784092695 50.886719225051),6,3,130,13
,,,,,,,New,1,T,,T,SPECIAL,,1110272589,1110272588,POINT (-114.113331440516 50.969245340614),8,1,66,5
Warning,,S,GPS,7/1/2002,,SG_40-00,,0,R,,R,75X75,Signpole,1109168269,1109080949,POINT (-114.027868979736 50.854192465185),6,3,99,13
Guide / Information,,E,GPS,2/23/2020,,SG_40-05,,2,A,,A,120X120,Signpole,1109221359,1109082070,POINT (-114.094838317425 50.994273120871),8,1,238,5
Parking Restrictions,,NE,,2/22/2020,High Intensity,SG_40-06,,1,A,,A,30X30,Signpole,1109136829,1109027407,POINT (-114.199091045966 51.126129256672),3,2,244,10
Regulatory,,N,GPS,7/1/2002,,SG_40-00,,0,R,,R,60X60,Signpole,1109169054,1109080859,POINT (-114.030286690007 50.857659312099),6,3,99,13
Regulatory,,NE,,2/22/2020,High Intensity,SG_40-06,,1,A,,A,60X75,Signpole,1109188502,1109052757,POINT (-113.956458007766 51.102835277092),9,4,119,1
,,NW/SE,,,,,New,1,T,RA-8,T,SPECIAL,,1110272664,1110272662,POINT (-113.938401850878 51.121069889633),11,4,26,1
Warning,,E,GPS,3/17/2010,High Intensity,SG_40-08,,0,R,,R,45X60,Signpole,1109609977,1109609976,POINT (-114.243028080512 51.107211675331),13,2,158,9
Warning,,E,GPS,2/23/2020,,SG_40-05,,2,A,,A,45X90,Signpole,1109179001,1109082070,POINT (-114.094838317425 50.994273120871),8,1,238,5
Regulatory,,NW,GPS,2/22/2020,High Intensity,SG_40-08,,1,A,,A,60X75,Signpole,1109391368,1109391367,POINT (-114.20732197382 51.151062052716),3,2,157,9
Warning,,N,,2/24/2020,Diamond Grade,SG_40-05,,4,A,,A,,Signpole,1109157524,1109029137,POINT (-113.976283955046 51.008872133869),12,3,101,11
,,E/W,,,,,New,1,T,RA-8,T,SPECIAL,,1110272633,1110272628,POINT (-114.063187518808 51.117956891478),2,4,261,4
Warning,,E,GPS,3/17/2010,High Intensity,SG_40-08,,0,R,,R,45X60,Signpole,1109609960,1109609959,POINT (-114.24355786113 51.107272582802),13,2,158,9
Stop,,N,,2/24/2020,Diamond Grade,SG_40-05,,4,A,,A,75X7,Signpole,1109157656,1109029137,POINT (-113.976283955046 51.008872133869),12,3,101,11
Parking Restrictions,,SW,GPS,1/28/2020,High Intensity,SG_40-12,,4,A,"NSAT, AR + TOW AWAY",A,30X60,Signpole,1110263476,1109945379,POINT (-114.08324448815 51.042041619342),14,1,260,2
Stop,,SW,,2/21/2020,Diamond Grade,SG_40-05,,3,A,,A,60X60,Signpole,1109221566,1109073833,POINT (-114.090264388506 50.985614777376),8,1,59,5
Park Plus,,NE/SW,GPS,5/21/2015,Engineer Grade,SG_40-12,,4,A,ZP 3329 AL BLUE,R,35X20,Signpole,1109945380,1109945379,POINT (-114.08324448815 51.042041619342),14,1,260,2
Parking Restrictions,,W,,2/24/2020,High Intensity,SG_40-06,,1,A,,A,30X30,Signpole,1109214038,1109070309,POINT (-114.044871957854 51.032087103213),10,3,132,11
Yield,,S,,2/18/2020,High Intensity,,,3,A,,A,,,1109112964,1109019908,POINT (-114.107015508678 50.953952751838),8,1,23,5
Yield,,NW,,7/1/2004,,SG_40-05,,1,A,,A,60X6,Signpole,1109185133,1109034714,POINT (-114.069820077243 50.93178354411),5,1,5,6
Regulatory,,E,GPS,7/1/2001,,,,0,R,,R,45X120,Signpole,1109169119,1109080848,POINT (-114.031720254332 50.858065127489),6,3,133,6
Playground,,NE,,2/18/2020,High Intensity,,,1,A,,A,45X60,,1109173730,1109024534,POINT (-113.998426107212 50.919003267824),6,3,168,13
Warning,,E,GPS,3/17/2010,High Intensity,SG_40-08,,0,R,,R,45X60,Signpole,1109609979,1109609978,POINT (-114.242839483175 51.107182202618),13,2,158,9
,,N/S,,,,,New,1,T,RA-8,T,SPECIAL,,1110272613,1110272611,POINT (-113.954178772053 51.086781824288),9,4,22,3
Parking Restrictions,,SW,GPS,5/21/2015,High Intensity,SG_40-12,,4,A,NPAT TOW AWAY AR,R,30X45,Signpole,1109945382,1109945379,POINT (-114.08324448815 51.042041619342),14,1,260,2
Regulatory,,W,GPS,7/1/1999,,SG_40-00,,0,R,ONE WAY (AL),R,90X30,Signpole,1109168706,1109080860,POINT (-114.030482969238 50.857907214817),6,3,99,13
Regulatory,,NE,,2/21/2020,High Intensity,SG_40-05,Reuse,3,A,,A,45X60,Signpole,1110210742,1109073833,POINT (-114.090264388506 50.985614777376),8,1,59,5
Park Plus,,SW,GPS,5/21/2015,High Intensity,SG_40-12,,4,A,2HR 0900-1800 M-SAT PAY REQD AL,R,30X45,Signpole,1109945381,1109945379,POINT (-114.08324448815 51.042041619342),14,1,260,2
Stop,,S,GPS,2/20/2020,Diamond Grade,SG_40-05,,1,A,,A,60X60,Signpole,1109995378,1109604458,POINT (-114.117854649623 51.035800308044),14,1,181,2
Street Name,,NE/SW,,2/18/2020,,SG_40-05,,3,A,,A,15XL,Signpole,1109113510,1109013892,POINT (-114.031784092695 50.886719225051),6,3,130,13
Warning,,E,GPS,3/17/2010,High Intensity,SG_40-08,,0,R,,R,45X60,Signpole,1109283405,1109283403,POINT (-114.243206741251 51.107227371985),13,2,158,9
Warning,,E,GPS,3/17/2010,High Intensity,SG_40-08,,0,R,,R,45X60,Signpole,1109283404,1109283402,POINT (-114.243385214124 51.107245884317),13,2,158,9
Warning,,S,GPS,7/1/2004,,SG_40-00,,0,R,DEER CROSSING,R,SPECIAL,Signpole,1109168833,1109080949,POINT (-114.027868979736 50.854192465185),6,3,99,13
Yield,,NE,,2/18/2020,Diamond Grade,SG_40-05,,3,A,,A,60X6,Signpole,1109146122,1109013892,POINT (-114.031784092695 50.886719225051),6,3,130,13
Regulatory,,S,,2/24/2020,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1109195307,1109026848,POINT (-113.955939572502 51.049136225499),12,3,30,11
Street Name,,E/W,Field Estimate,1/17/2020,High Intensity,SG_40-06,,3,A,SHERIFF KING STREET,A,15XL,Signpole,1110190101,1110190099,POINT (-114.070566342679 50.877595089671),6,3,134,6
Street Name,,NW/SE,Field Estimate,4/10/2019,High Intensity,SG_40-06,,3,A,BELMONT STREET,A,15XL,Signpole,1110200787,1110200781,POINT (-114.059972237419 50.87257466202),6,3,113,6
Yield,,N,,9/7/2010,High Intensity,SG_40-99,,3,A,,A,60X60,Streetlightstandard,1109095054,1109029741,POINT (-114.007442248125 50.983325891444),10,3,28,11
Stop,,W,,2/28/2020,Diamond Grade,SG_40-05,,3,A,,A,60X6,Signpole,1109175055,1109060085,POINT (-114.074384329443 51.034755645603),14,1,18,2
Street Name,,E/W,,2/28/2020,High Intensity,SG_40-05,,3,A,5 ST SW FORMERLY COLLEGE RD,A,,Signpole,1109187007,1109060085,POINT (-114.074384329443 51.034755645603),14,1,18,2
Street Name,,N/S,,12/12/2019,High Intensity,SG_40-06,,3,A,,A,15XL,Signpole,1109167736,1109008458,POINT (-113.989656436114 51.0523280788),12,3,84,3
Street Name,,N/S,,7/1/2002,High Intensity,SG_40-99,,3,A,,A,15XL,Signpole,1109144313,1109023444,POINT (-114.153886140923 51.09066624841),13,2,269,9
Warning,,N,GPS,9/9/2009,High Intensity,SG_40-08,,0,R,,R,45X90,Signpole,1109394531,1109394526,POINT (-114.14136425291 51.176067504136),3,2,265,10
Street Name,,NE/SW,Field Estimate,1/17/2020,High Intensity,SG_40-06,,3,A,194 AVENUE SW,A,15XL,Signpole,1110258209,1110200781,POINT (-114.059972237419 50.87257466202),6,3,113,6
Speed,,W,Field Estimate,6/24/2019,High Intensity,SG_40-06,,1,A,MAX 60,A,45X60,Signpole,1110220222,1110220221,POINT (-114.083235530982 50.863060354639),6,1,133,6
Street Name,,NE/SW,Field Estimate,,,,,3,A,6 STREET SE,R,15XL,Streetlightstandard,1110190254,1110190253,POINT (-114.047225418945 50.874602883527),6,3,133,6
Street Name,,N/S,,2/24/2020,,SG_40-05,,3,A,,A,15XL,Signpole,1109173480,1109074804,POINT (-114.193793718226 51.065408571214),1,1,114,14
Street Name,,N/S,,2/28/2020,High Intensity,SG_40-05,,3,A,ROYAL AVENUE,A,,Signpole,1109181957,1109060085,POINT (-114.074384329443 51.034755645603),14,1,18,2
Street Name,,N/S,Field Estimate,,,SG_40-06,,3,A,194 AVENUE SE,R,15XL,Signpole,1110190100,1110190099,POINT (-114.070566342679 50.877595089671),6,3,134,6
Yield,,SW,,2/24/2020,,SG_40-06,,1,A,,A,60X60,Signpole,1110268334,1110268320,POINT (-114.094402856529 50.988027068984),8,1,29,5
Street Name,,N/S,Field Estimate,1/17/2020,High Intensity,SG_40-06,,3,A,194 AVENUE SW,A,15XL,Signpole,1110258280,1110190099,POINT (-114.070566342679 50.877595089671),6,3,134,6
Street Name,,NE/SW,Field Estimate,4/10/2019,High Intensity,SG_40-06,,3,A,194 AVENUE SE,R,15XL,Signpole,1110200788,1110200781,POINT (-114.059972237419 50.87257466202),6,3,113,6
Street Name,,E/W,,2/24/2020,High Intensity,SG_40-99,,3,A,,A,15XL,Signpole,1109133965,1109023444,POINT (-114.153886140923 51.09066624841),13,2,269,9
Street Name,,E/W,Field Estimate,1/17/2020,High Intensity,,,3,A,SHERIFF KING POINT,A,15XL,Streetlightstandard,1110258296,1110190253,POINT (-114.047225418945 50.874602883527),6,3,133,6
Stop,,E,Field Estimate,1/17/2020,Diamond Grade,SG_40-06,,3,A,,A,60X60,Signpole,1110190102,1110190099,POINT (-114.070566342679 50.877595089671),6,3,134,6
Regulatory,,SE,,2/24/2020,High Intensity,SG_40-05,,1,A,,A,45X60,Signpole,1109229573,1109066900,POINT (-114.030757057042 51.04896240578),10,4,137,11
Street Name,,NW/SE,,2/24/2020,High Intensity,SG_40-06,,3,A,,A,15XL,Signpole,1109147215,1109012569,POINT (-114.114589113877 50.957370567259),8,1,23,5
Street Name,,N/S,,7/1/2005,High Intensity,SG_40-06,,3,A,190 AVE SE,R,15XL,Signpole,1109104469,1109034790,POINT (-114.070660829176 50.881238880556),6,3,134,6
Street Name,,N/S,,1/17/2020,High Intensity,SG_40-06,,3,A,SILVERTON WAY,A,15XL,Signpole,1110258281,1109034790,POINT (-114.070660829176 50.881238880556),6,3,134,6
Street Name,,NW/SE,Field Estimate,,,,,3,A,194 AVENUE SE,R,15XL,Streetlightstandard,1110190255,1110190253,POINT (-114.047225418945 50.874602883527),6,3,133,6
Regulatory,,E,,7/1/2007,High Intensity,,,0,R,,R,45X60,Streetlightstandard,1109166809,1109041236,POINT (-113.991529014814 51.015491853185),10,3,196,11
Pedestrian,,N,Field Estimate,1/22/2020,High Intensity,SG_40-06,,2,A,,A,60X75,Signpole,1110252341,1110252292,POINT (-114.070847939766 50.881321461547),6,1,134,6
Street Name,,N/S,GPS,2/24/2020,High Intensity,SG_40-05,,3,A,31 Ave SW,A,15XL,Signpole,1109129006,1109094663,POINT (-114.128075496914 51.025699315318),14,1,181,2
Stop,,SW,Field Estimate,4/10/2019,Diamond Grade,SG_40-06,,3,A,,A,60X60,Signpole,1110200789,1110200781,POINT (-114.059972237419 50.87257466202),6,3,113,6
Regulatory,,NW,GPS,2/24/2020,High Intensity,SG_40-05,,1,A,,A,60X75,Signpole,1109202535,1109082342,POINT (-113.966250043736 51.10826891896),9,4,119,1
Yield,,SW,GPS,2/5/2020,Diamond Grade,SG_40-06,,1,A,,A,75X75,Signpole,1109983526,1109983372,POINT (-114.117896300274 51.074145385025),7,2,153,7
Warning,,N,GPS,4/14/2011,High Intensity,SG_40-05,,3,A,,A,45X90,Signpole,1109227513,1109094190,POINT (-114.071022023271 50.881346504356),6,1,134,6
Street Name,,E/W,,2/24/2020,,SG_40-05,,3,A,,A,15XL,Signpole,1109130969,1109074804,POINT (-114.193793718226 51.065408571214),1,1,114,14
Warning,,NE,,7/1/2005,High Intensity,SG_40-06,,0,R,,R,SPECIAL,Signpole,1109120488,1109025316,POINT (-114.077506910395 50.923136625062),5,1,32,6
Stop,,NW,Field Estimate,1/17/2020,Diamond Grade,,,3,A,,A,60X60,Streetlightstandard,1110190256,1110190253,POINT (-114.047225418945 50.874602883527),6,3,133,6
Pedestrian,,S,Field Estimate,1/22/2020,High Intensity,SG_40-06,,2,A,,A,60X75,Signpole,1110252340,1110252292,POINT (-114.070847939766 50.881321461547),6,1,134,6
Stop,,E,,7/1/2005,,SG_40-06,,3,A,,A,60X60,Signpole,1109139131,1109034790,POINT (-114.070660829176 50.881238880556),6,3,134,6
Residential Parking,,NE,GPS,2/5/2020,High Intensity,SG_40-05,,1,A,NPAT EXCEPT PERMIT F 0800-2200 DA,A,SPECIAL,Signpole,1109654183,1109654182,POINT (-114.076595537744 51.069899931229),7,2,17,7
Regulatory,,S,,2/24/2020,High Intensity,SG_40-05,,1,A,,A,45X60,Signpole,1109154336,1109051837,POINT (-113.993307728795 50.94953426059),4,3,162,8
Street Name,,E/W,,7/1/2005,High Intensity,SG_40-06,,3,A,SHERIFF KING STREET,A,15XL,Signpole,1109141841,1109034790,POINT (-114.070660829176 50.881238880556),6,3,134,6
Pedestrian,,N,GPS,1/22/2020,High Intensity,SG_40-05,,3,A,,A,60X75,Signpole,1110252279,1109094190,POINT (-114.071022023271 50.881346504356),6,1,134,6
Pedestrian,,S,GPS,1/22/2020,High Intensity,SG_40-05,,3,A,,A,60X75,Signpole,1110252278,1109094190,POINT (-114.071022023271 50.881346504356),6,1,134,6
Street Name,,N/S,Field Estimate,1/17/2020,High Intensity,,,3,A,194 AVENUE SW,A,15XL,Streetlightstandard,1110258299,1110190253,POINT (-114.047225418945 50.874602883527),6,3,133,6
Parking Restrictions,,E,,7/1/2002,,,,2,A,,A,30X45,,1109180101,1109082628,POINT (-114.075053978746 51.046388604981),14,1,262,2
Regulatory,,NE,Field Estimate,2/5/2020,High Intensity,SG_40-08,,4,A,,A,60X75,Signpole,1109100670,1109045153,POINT (-113.949933563844 51.077465777747),9,4,36,3
Residential Parking,,NE,Field Estimate,1/23/2020,High Intensity,SG_40-06,,1,A,"NPAT EXCEPT PERMIT, LL DA",A,30X45,Signpole,1110242862,1110242861,POINT (-114.023748410445 51.038267168723),10,3,54,11
Loading Zone,,SW,Field Estimate,10/27/2019,High Intensity,SG_40-05,,3,A,LZ AR 20 MIN MAX,A,30X60,Signpole,1110247710,1110247707,POINT (-114.071387957028 51.030371364203),14,1,297,5
Stop,,W,,12/17/2019,Diamond Grade,SG_40-12,,4,A,4-WAY,A,40X25,Signpole,1110247738,1109088683,POINT (-114.199652936007 51.059605815484),1,1,114,14
Disabled Parking,,SE,Field Estimate,5/22/2019,High Intensity,SG_40-05,,0,R,"DPZ, 8M, AR",R,30X45,Signpole,1110224276,1110224275,POINT (-114.109647564413 51.138578386472),2,2,146,4
Street Name,,NW,GPS,5/2/2014,High Intensity,SG_40-99,,1,A,210 AVENUE SE,R,30XL,Signpole,1109744670,1109744669,POINT (-114.038471241199 50.866362110297),6,3,133,6
Street Name,,SE,GPS,5/2/2014,High Intensity,SG_40-99,,1,A,210 AVE SE,R,30XL,Signpole,1109744622,1109744621,POINT (-114.03775010004 50.866776615266),6,3,135,13
Residential Parking,,SW,Field Estimate,1/23/2020,High Intensity,,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Streetlightstandard,1110242869,1110242868,POINT (-114.023545328419 51.039526646628),10,3,54,11
Residential Parking,,NW,Field Estimate,1/23/2020,High Intensity,SG_40-06,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Signpole,1110242856,1110242855,POINT (-114.024122652435 51.039719190734),10,3,54,11
Residential Parking,,NE,Field Estimate,1/23/2020,High Intensity,,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Streetlightstandard,1110242860,1110242859,POINT (-114.023743168357 51.039080630018),10,3,54,11
Residential Parking,,SW,Field Estimate,1/23/2020,High Intensity,SG_40-06,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Signpole,1110242871,1110242870,POINT (-114.023544925176 51.038731024888),10,3,54,11
Stop,,S,Field Estimate,12/17/2019,Diamond Grade,SG_40-06,,2,A,4-WAY,A,40X25,Signpole,1110247741,1110247739,POINT (-114.199333268725 51.059561406142),1,1,114,14
Timed Parking,,SE,,7/2/1986,Scotch-Cal,SG_40-06,,1,A,,R,30X45,Signpole,1109172444,1109058587,POINT (-114.079687871321 51.036090228057),14,1,16,2
Regulatory,,SW,,,,SG_40-05,,0,R,,R,60X75,Signpole,1109127704,1109027318,POINT (-114.209152428064 51.126665880869),3,2,244,10
Stop,,S,Field Estimate,12/17/2019,Diamond Grade,SG_40-06,,2,A,,A,60X60,Signpole,1110247740,1110247739,POINT (-114.199333268725 51.059561406142),1,1,114,14
Residential Parking,,NW,Field Estimate,1/23/2020,High Intensity,SG_40-06,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Signpole,1110242873,1110242872,POINT (-114.023166270528 51.039726520272),10,3,54,11
Parking Restrictions,,SW,Field Estimate,10/27/2019,High Intensity,SG_40-05,,3,A,NSAT AM/PM PEAK AR,A,30X45,Signpole,1110247709,1110247707,POINT (-114.071387957028 51.030371364203),14,1,297,5
Regulatory,,SE,GPS,7/1/2005,High Intensity,,,2,A,,A,60X75,,1109148796,1109078468,POINT (-114.209488764466 51.126653260673),3,2,244,10
Regulatory,,SE,GPS,7/1/2005,High Intensity,,,2,A,,A,75X90,,1109127412,1109078468,POINT (-114.209488764466 51.126653260673),3,2,244,10
Residential Parking,,SW,Field Estimate,1/23/2020,High Intensity,SG_40-06,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Signpole,1110242864,1110242863,POINT (-114.023538911546 51.038031735565),10,3,54,11
Residential Parking,,NE,,4/6/2018,High Intensity,SG_40-05,,2,A,NPAT EXCEPT PERMIT P DA,A,30X45,Signpole,1110146216,1109058541,POINT (-114.079447256189 51.036262613869),14,1,16,2
Residential Parking,,SW,Field Estimate,1/23/2020,High Intensity,,,1,A,"NPAT EXCEPT PERMIT LL, DA",A,30X45,Streetlightstandard,1110242867,1110242866,POINT (-114.023561738828 51.038409918677),10,3,54,11
Stop,,N,Field Estimate,12/17/2019,Diamond Grade,SG_40-06,,2,A,STOP,A,60X60,Signpole,1110247744,1110247743,POINT (-114.199566431904 51.059803619304),1,1,114,14
Stop,,NE,,,,SG_40-05,,0,R,,R,40X25,Signpole,1109228194,1109027318,POINT (-114.209152428064 51.126665880869),3,2,244,10
Timed Parking,,NE,,6/22/2017,High Intensity,SG_40-05,,2,A,2HP 0700-1800 MON-FRI (DA),A,30X45,Signpole,1109103637,1109058541,POINT (-114.079447256189 51.036262613869),14,1,16,2
Residential Parking,,SE,,4/6/2018,High Intensity,SG_40-06,,1,A,NPAT EXCEPT PERMIT P DA,A,30X45,Signpole,1110146215,1109058587,POINT (-114.079687871321 51.036090228057),14,1,16,2
Stop,,SE,,,,SG_40-06,,0,R,,R,60X60,Signpole,1109127446,1109027352,POINT (-114.209474898014 51.126629441444),3,2,244,10
Street Name,,N/S,GPS,3/6/2013,High Intensity,SG_40-12,,4,A,9 AVE SW,A,15XL,Signpole,1109722064,1109722061,POINT (-114.199218831503 51.059747136496),1,1,114,14
Street Name,,N/S,,7/1/2007,,SG_40-12,,4,A,,A,15XL,Signpole,1109160287,1109088683,POINT (-114.199652936007 51.059605815484),1,1,114,14
Parking Restrictions,,SW,Field Estimate,10/27/2019,High Intensity,SG_40-05,,3,A,NSAT TOW AL,A,30X45,Signpole,1110247708,1110247707,POINT (-114.071387957028 51.030371364203),14,1,297,5
Stop,,SW,Field Estimate,2/5/2020,High Intensity,SG_40-08,,4,A,,A,40X25,Signpole,1109126261,1109045153,POINT (-113.949933563844 51.077465777747),9,4,36,3
Stop,,NW,,,,SG_40-06,,0,R,,R,40X25,Signpole,1109227659,1109027352,POINT (-114.209474898014 51.126629441444),3,2,244,10
Regulatory,,NW,,,,SG_40-06,,0,R,,R,60X75,Signpole,1109227636,1109027352,POINT (-114.209474898014 51.126629441444),3,2,244,10
Residential Parking,,SE,,7/2/2000,Diamond Grade,SG_40-06,,1,A,,R,30X60,Signpole,1109102552,1109058587,POINT (-114.079687871321 51.036090228057),14,1,16,2
Stop,,S,Field Estimate,7/2/2019,Diamond Grade,SG_40-06,,1,A,,A,120X120,Signpole,1110227517,1110227515,POINT (-114.076317470542 51.008574913125),8,1,144,5
Stop,,NE,,,,SG_40-05,,0,R,,R,60X60,Signpole,1109228082,1109027318,POINT (-114.209152428064 51.126665880869),3,2,244,10
Yield,,SW,Field Estimate,3/3/2020,Diamond Grade,SG_40-06,,1,A,,A,60X60,Signpole,1110265363,1110265361,POINT (-114.001275250084 51.076691586851),9,4,83,3
Stop,,SW,Field Estimate,2/5/2020,Diamond Grade,SG_40-08,,4,A,,A,60X60,Signpole,1109126301,1109045153,POINT (-113.949933563844 51.077465777747),9,4,36,3
Street Name,,E/W,,7/1/2007,,SG_40-12,,4,A,,A,15XL,Signpole,1109113435,1109088683,POINT (-114.199652936007 51.059605815484),1,1,114,14
Street Name,,NW,GPS,1/17/2020,High Intensity,SG_40-99,,1,A,210 AVE S,A,30XL,Signpole,1110258453,1109744669,POINT (-114.038471241199 50.866362110297),6,3,133,6
Stop,,E,GPS,3/6/2013,Diamond Grade,SG_40-12,,4,A,,A,60X60,Signpole,1109722062,1109722061,POINT (-114.199218831503 51.059747136496),1,1,114,14
Stop,,E,GPS,12/17/2019,Diamond Grade,SG_40-12,,4,A,4-WAY,A,40X25,Signpole,1110247742,1109722061,POINT (-114.199218831503 51.059747136496),1,1,114,14
Stop,,N,Field Estimate,12/17/2019,Diamond Grade,SG_40-06,,2,A,4-WAY,A,40X25,Signpole,1110247745,1110247743,POINT (-114.199566431904 51.059803619304),1,1,114,14
Regulatory,,SW,Field Estimate,2/5/2020,High Intensity,SG_40-08,,4,A,,A,45X60,Signpole,1109126292,1109045153,POINT (-113.949933563844 51.077465777747),9,4,36,3
Street Name,,E/W,GPS,3/6/2013,High Intensity,SG_40-12,,4,A,77 ST SW,A,15XL,Signpole,1109722063,1109722061,POINT (-114.199218831503 51.059747136496),1,1,114,14
Street Name,,SE,GPS,1/17/2020,High Intensity,SG_40-99,,1,A,210 AVE S,A,30XL,Signpole,1110258379,1109744621,POINT (-114.03775010004 50.866776615266),6,3,135,13
Stop,,N,Field Estimate,7/2/2019,Diamond Grade,SG_40-06,,1,A,,A,120X120,Signpole,1110227513,1110227512,POINT (-114.076534729561 51.008861862677),8,1,143,5
Stop,,W,,7/1/2007,,SG_40-12,,4,A,,A,75X7,Signpole,1109109961,1109088683,POINT (-114.199652936007 51.059605815484),1,1,114,14
